Date, Inlet,Outlet,Set_Point,Unit_Consumed,Operating_Hrs,Load_percentage
04-Jun-19,18.5,13.9,8,4400,20.2,97
05-Jun-19,,,,0,0.68,
06-Jun-19,17.7,12.8,8,4600,21.27,98
07-Jun-19,16.8,12.3,8,4800,23.85,98
08-Jun-19,18.5,14,8,4800,23.76,98
09-Jun-19,18.9,14.1,8,4400,24.16,98
10-Jun-19,17.5,12.8,8,4700,23.9,98
11-Jun-19,17.4,13.1,8,700,2.13,98
12-Jun-19,17.1,12.5,8,3400,16.02,99
13-Jun-19,18.3,13.9,8,4900,24.08,98
14-Jun-19,16.9,12.3,8,5200,24,97
15-Jun-19,17.4,12.8,8,1700,7.82,97
16-Jun-19,17.7,13.5,8,4300,20.91,97
17-Jun-19,18.5,13.6,8,4600,22.98,98
18-Jun-19,16.9,12.4,8,4800,23.55,97
19-Jun-19,16.8,12.6,8,5000,24.02,98
20-Jun-19,17.7,12.3,8,2700,12.69,97
21-Jun-19,,,,100,0,
22-Jun-19,18.6,14.2,8,2500,11.27,98
23-Jun-19,18.3,14.4,8,3200,15.56,98
24-Jun-19,18.1,13.8,8,2700,11.95,98
25-Jun-19,18.9,14.8,8,4500,20.98,98
26-Jun-19,17.9,13.4,8,4800,23.54,98
27-Jun-19,18.4,13.9,8,4900,23.99,98
28-Jun-19,18.6,13.9,8,5100,23.99,97
29-Jun-19,17.9,13.2,8,4800,23.81,98
30-Jun-19,,,,200,0,
01-Jul-19,18.6,13.8,8,4700,24.24,98
02-Jul-19,17.2,12.9,8,5000,23.92,97
03-Jul-19,17.3,12.7,8,4700,24.01,98
04-Jul-19,17.8,13.5,8,1000,4.68,97
05-Jul-19,,,,200,0,
06-Jul-19,17.7,13.6,8,5000,22.15,98
07-Jul-19,18.1,13.4,8,200,0.95,98
08-Jul-19,18.4,14.2,8,4700,23.71,97
09-Jul-19,18.5,14,8,4800,23.58,97
10-Jul-19,18.7,13.9,8,4800,23.85,97
11-Jul-19,17.7,13.6,8,4700,23.73,98
12-Jul-19,16.7,12.2,8,4800,24.07,97
13-Jul-19,7.9,13.4,8,4700,23.35,98
14-Jul-19,16.7,12.2,8,100,0.92,98
15-Jul-19,16.9,12.5,8,4800,14.83,97
16-Jul-19,16.5,12.2,8,4700,23.87,96
17-Jul-19,15.9,11.9,8,5000,24.11,96
18-Jul-19,17.6,13.5,8,5300,23.96,98
19-Jul-19,17.7,13.6,8,4800,21.97,98
20-Jul-19,18.7,14.3,8,5100,24.03,98
21-Jul-19,17.4,13.1,8,300,1.79,98
22-Jul-19,16.2,11.6,8,4900,23.48,97
23-Jul-19,15.7,10.9,8,5000,23.95,98
24-Jul-19,18.1,13.6,8,5100,23.88,98
25-Jul-19,18.2,13.7,8,4700,24.1,97
26-Jul-19,17.5,14.3,8,4700,23.7,98
27-Jul-19,17.8,13.8,8,4800,23.97,98
28-Jul-19,16.2,11.7,8,200,1,97
29-Jul-19,18.8,14.6,8,5100,23.92,98
30-Jul-19,18.5,14,8,4800,23.42,98
31-Jul-19,18.1,13.4,8,4900,24.1,98
01-Aug-19,18.7,14.1,8,4800,23.97,98
02-Aug-19,17.7,12.8,8,4800,23.79,98
03-Aug-19,17.1,17.6,8,4800,24,98
04-Aug-19,16.1,11.6,8,400,1.95,98
05-Aug-19,18,13.5,8,4800,24.02,98
06-Aug-19,18.1,13.6,8,4700,23.78,97
07-Aug-19,14.8,10.1,8,5100,24.04,99
08-Aug-19,15.7,11.7,8,5000,23.32,98
09-Aug-19,17.5,12.7,8,4800,23.98,98
10-Aug-19,18.2,13.5,8,5200,24.06,97
11-Aug-19,,,,0,0,
12-Aug-19,17.5,13.4,8,200,1.51,97
13-Aug-19,19.5,14.7,8,4600,23.42,97
14-Aug-19,18.2,13.6,8,4600,24,97
15-Aug-19,18.8,14,8,300,1.93,98
16-Aug-19,17.2,12.7,8,4600,23.9,98
17-Aug-19,16.9,12.2,8,4300,23.09,98
18-Aug-19,18.8,14.2,8,100,0.8,97
19-Aug-19,16.2,11.5,8,4500,23.27,97
20-Aug-19,18.5,14,8,4300,23.12,96
21-Aug-19,15.7,11.2,8,4400,23.71,97
22-Aug-19,15,10.9,8,4500,24.22,98
23-Aug-19,17.6,13.2,8,2400,12.71,98
24-Aug-19,17.6,12.9,8,1700,9.03,97
25-Aug-19,17.5,12.8,8,4300,23.89,98
26-Aug-19,18.5,14,8,4500,24.03,97
27-Aug-19,18.3,13.7,8,4600,23.97,98
28-Aug-19,18.3,14,8,4500,24.03,97
29-Aug-19,15.9,12,8,4500,23.98,94
30-Aug-19,18.5,14.2,8,3500,18.16,98
31-Aug-19,17.2,14.2,8,2800,16.75,97
01-Sep-19,17.6,13.2,8,4500,23.44,97
02-Sep-19,18.5,14.5,8,4500,24.01,98
03-Sep-19,18.8,14.7,8,4500,23.99,97
04-Sep-19,17.7,13.2,8,4400,23.98,97
05-Sep-19,17,12.4,8,4700,24,98
06-Sep-19,18.2,13.9,8,4800,23.95,97
07-Sep-19,18.6,14.2,8,4900,23.66,98
08-Sep-19,18.1,13.3,8,5100,23.53,97
09-Sep-19,18.5,14.4,8,5000,23.99,97
10-Sep-19,18.5,13.8,8,4900,24.44,97
11-Sep-19,16.4,11.9,8,4700,23.58,97
12-Sep-19,18,13.4,8,4800,24.41,98
13-Sep-19,17.71,13.4,8,4800,23.47,98
14-Sep-19,17.6,12.9,8,4800,23.96,98
15-Sep-19,17.7,13.2,8,4800,24.01,98
16-Sep-19,18.1,13.6,8,4700,23.12,98
17-Sep-19,16,11.3,8,4800,23.98,97
18-Sep-19,19,14.5,8,4900,23.86,98
19-Sep-19,17,12.7,8,4800,23.82,98
20-Sep-19,16.4,11.7,8,4600,23.94,98
21-Sep-19,17.4,13.3,8,4500,23.23,97
22-Sep-19,15.4,10.8,8,100,0.5,96
23-Sep-19,17.7,12.9,8,4400,23.66,97
24-Sep-19,18.8,14.3,8,4700,23.89,98
25-Sep-19,17.9,13.6,8,4300,21.9,97
26-Sep-19,17.9,13.1,8,4600,23.02,98
27-Sep-19,17.7,14.1,8,5000,23.94,98
28-Sep-19,17.2,12.7,8,4500,22.8,96
29-Sep-19,14,10.3,8,300,1.33,95
30-Sep-19,16.6,12.5,8,4700,24.09,99
